,Unnamed: 0,Date,Permit Number,Status,Permit Type,County,State
4962,4536.0,2016-11-18,B201608549,Final,Residential Pools and Spas,maricopa,AZ
4963,4537.0,2016-11-16,B201608489,Final,Residential Pools and Spas,maricopa,AZ
4964,4538.0,2016-11-15,B201608440,Final,Residential Pools and Spas,maricopa,AZ
4965,4539.0,2016-11-15,B201608439,Final,Residential Pools and Spas,maricopa,AZ
4966,4540.0,2016-11-15,B201608410,Final,Residential Pools and Spas,maricopa,AZ
4967,4541.0,2016-11-15,B201608394,Final,Residential Pools and Spas,maricopa,AZ
4968,4542.0,2016-11-14,B201608382,Final,Residential Pools and Spas,maricopa,AZ
4969,4543.0,2016-11-14,B201608375,Final,Residential Pools and Spas,maricopa,AZ
4970,4544.0,2016-11-10,B201608313,Final,Residential Pools and Spas,maricopa,AZ
4971,4545.0,2016-11-10,B201608312,Final,Residential Pools and Spas,maricopa,AZ
4972,4546.0,2016-11-10,B201608308,Final,Residential Pools and Spas,maricopa,AZ
4973,4547.0,2016-11-10,B201608298,Final,Residential Pools and Spas,maricopa,AZ
4974,4548.0,2016-11-09,B201608279,Final,Residential Pools and Spas,maricopa,AZ
4975,4549.0,2016-11-09,B201608278,Final,Residential Pools and Spas,maricopa,AZ
4976,4550.0,2016-11-09,B201608273,Final,Residential Pools and Spas,maricopa,AZ
4977,4551.0,2016-11-08,B201608213,Final,Residential Pools and Spas,maricopa,AZ
4978,4552.0,2016-11-08,B201608212,Final,Residential Pools and Spas,maricopa,AZ
4979,4553.0,2016-11-08,B201608211,Final,Residential Pools and Spas,maricopa,AZ
4980,4554.0,2016-11-04,B201608170,Final,Residential Pools and Spas,maricopa,AZ
4981,4555.0,2016-11-04,B201608169,Final,Residential Pools and Spas,maricopa,AZ
4982,4556.0,2016-11-04,B201608159,Issued,Residential Pools and Spas,maricopa,AZ
4983,4557.0,2016-11-03,B201608102,Final,Residential Pools and Spas,maricopa,AZ
4984,4558.0,2016-11-03,B201608099,Final,Residential Pools and Spas,maricopa,AZ
4985,4559.0,2016-11-02,B201608091,Final,Residential Pools and Spas,maricopa,AZ
4986,4560.0,2016-11-02,B201608072,Final,Residential Pools and Spas,maricopa,AZ
4987,4561.0,2016-11-02,B201608071,Final,Residential Pools and Spas,maricopa,AZ
4988,4562.0,2016-11-02,B201608070,Final,Residential Pools and Spas,maricopa,AZ
4989,4563.0,2016-11-02,B201608069,Final,Residential Pools and Spas,maricopa,AZ
4990,4564.0,2016-11-01,B201608062,Final,Residential Pools and Spas,maricopa,AZ
4991,4565.0,2016-11-01,B201608036,Final,Residential Pools and Spas,maricopa,AZ
4992,4566.0,2016-11-01,B201608019,Final,Residential Pools and Spas,maricopa,AZ
4993,4567.0,2016-11-01,B201608018,Final,Residential Pools and Spas,maricopa,AZ
4994,4568.0,2016-10-31,B201607991,Final,Residential Pools and Spas,maricopa,AZ
4995,4569.0,2016-10-31,B201607989,Final,Residential Pools and Spas,maricopa,AZ
4996,4570.0,2016-10-31,B201607987,Final,Residential Pools and Spas,maricopa,AZ
4997,4571.0,2016-10-31,B201607984,Final,Residential Pools and Spas,maricopa,AZ
4998,4572.0,2016-10-31,B201607982,Final,Residential Pools and Spas,maricopa,AZ
4999,4573.0,2016-10-28,B201607964,Final,Residential Pools and Spas,maricopa,AZ
5000,4574.0,2016-10-28,B201607959,Final,Residential Pools and Spas,maricopa,AZ
5001,4575.0,2016-10-28,B201607943,Final,Residential Pools and Spas,maricopa,AZ
5002,4576.0,2016-10-27,B201607931,Issued,Residential Pools and Spas,maricopa,AZ
5003,4577.0,2016-10-27,B201607928,Final,Residential Pools and Spas,maricopa,AZ
5004,4578.0,2016-10-27,B201607927,Final,Residential Pools and Spas,maricopa,AZ
5005,4579.0,2016-10-27,B201607923,Final,Residential Pools and Spas,maricopa,AZ
5006,4580.0,2016-10-27,B201607922,Final,Residential Pools and Spas,maricopa,AZ
5007,4581.0,2016-10-27,B201607921,Final,Residential Pools and Spas,maricopa,AZ
5008,4582.0,2016-10-27,B201607899,Final,Residential Pools and Spas,maricopa,AZ
5009,4583.0,2016-10-26,B201607863,Final,Residential Pools and Spas,maricopa,AZ
5010,4584.0,2016-10-25,B201607831,Final,Residential Pools and Spas,maricopa,AZ
5011,4585.0,2016-10-25,B201607823,Terminate,Residential Pools and Spas,maricopa,AZ
