"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"02/10/2021","K202101054","Residential Pool",,"4111 GOLDEN ASTER ST, BAKERSFIELD CA","Finaled",,
"02/08/2021","K202100956","Residential Pool",,"3253 HINSLEY ST, BAKERSFIELD CA","Issued",,
"02/02/2021","K202100806","Residential Pool",,"14726 MARJORAM DR, BAKERSFIELD CA","Finaled",,
"02/02/2021","K202100804","Residential Pool",,"13120 LAS POSIDAS CT, BAKERSFIELD CA","Finaled",,
"01/29/2021","K202100741","Residential Pool",,"5503 OLIVE DR, BAKERSFIELD CA","Finaled",,
"01/29/2021","K202100737","Residential Pool",,"5608 PRYOR ST, BAKERSFIELD CA","Finaled",,
"01/28/2021","K202100685","Residential Pool",,"2333 BAVARIAN AV, ROSAMOND CA","Issued",,
"01/26/2021","K202100601","Residential Pool",,"15926 CUSANO PL, BAKERSFIELD CA","Finaled",,
"01/22/2021","K202100546","Residential Pool",,"3952 CLAREMONT DR, BAKERSFIELD CA","Issued",,
"01/20/2021","K202100489","Residential Pool",,"15726 SAINT CLEMENT WY, BAKERSFIELD CA","Finaled",,
"01/20/2021","K202100487","Residential Pool","ALOHA POOLS","524 SHADY MEADOW CT, BAKERSFIELD CA","Finaled",,
"01/15/2021","K202100361","Residential Pool",,"15316 CALABRIA CT, KERN COUNTY CA","Finaled",,
"01/14/2021","K202100915","Residential Pool",,"13915 STAR SHINE DR, BAKERSFIELD CA","Canceled",,
"01/13/2021","K202100303","Residential Pool",,"15001 COTTON BLOSSOM AV, BAKERSFIELD CA","Finaled",,
"01/12/2021","K202100257","Residential Pool",,"6861 SUSAN ST, BAKERSFIELD CA","Finaled",,
"01/08/2021","K202100174","Residential Pool",,"327 CHESTNUT AV, BAKERSFIELD CA","Finaled",,
"01/07/2021","K202100156","Residential Pool",,"3127 REDWOOD CANYON LN, BAKERSFIELD CA","Finaled",,
"01/06/2021","K202100119","Residential Pool",,"3419 WEXFORD PL, BAKERSFIELD CA","Issued",,
"01/06/2021","K202100117","Residential Pool",,"14314 GRANGEMORE WY, BAKERSFIELD CA","Issued",,
"01/06/2021","K202100084","Residential Pool",,"16717 BELLEWOOD PL, BAKERSFIELD CA","Finaled",,
"12/28/2020","K202009808","Residential Pool",,"9457 VAL DI CHIANA DR, KERN COUNTY CA","Issued",,
"12/28/2020","K202009766","Residential Pool",,"20941 LOLA LN, TEHACHAPI CA","Finaled",,
"12/18/2020","K202009596","Residential Pool",,"316 HELVEY ST, BAKERSFIELD CA","Issued",,
"12/16/2020","K202009509","Residential Pool",,"15724 LA STRADA CT, KERN COUNTY CA","Finaled",,
"12/15/2020","K202009476","Residential Pool",,"14207 PRESTONBROOK DR, BAKERSFIELD CA","Issued",,
"12/15/2020","K202009469","Residential Pool",,"15820 CLOS DU VAL AV, BAKERSFIELD CA","Finaled",,
"12/04/2020","K202009184","Residential Pool",,"15640 CUDA RD, ARVIN CA","Issued",,
"12/04/2020","K202009167","Residential Pool",,"3032 HORACE MANN AV, BAKERSFIELD CA","Finaled",,
"12/03/2020","K202009151","Residential Pool",,"3101 HEATH RD, BAKERSFIELD CA","Finaled",,
"12/02/2020","K202009068","Residential Pool",,"14809 HENDERSON AV, BAKERSFIELD CA","Finaled",,
"12/01/2020","K202009044","Residential Pool",,"1911 S GUAM ST, RIDGECREST CA","Issued",,
"12/01/2020","K202009039","Residential Pool",,"1220 BASTA AV, BAKERSFIELD CA","Finaled",,
"12/01/2020","K202009030","Residential Pool",,"21254 TAMARON DR, TEHACHAPI CA","Finaled",,
"12/01/2020","K202009024","Residential Pool",,"14512 GLOVER CT, KERN COUNTY CA","Finaled",,
"12/01/2020","K202009017","Residential Pool",,"15010 SOUTHERNWOOD AV, BAKERSFIELD CA","Finaled",,
